firmname,firmfounding,firmstate,firmzip,firmtype,firmmsa,firmtype2,d,remove
Playground Ventures GP LLC,2015.1.1,CA,94306,Private Equity Firm,7400,IVC,1,
Playgroup Ventures,2002.1.1,NY,10804,Private Equity Firm,5600,IVC,1,
Plaza Associates,1971.1.1,NY,10022,Private Equity Firm,5600,IVC,1,
Plaza Belmont Management Group LLC,1998.1.1,KS,66208,Private Equity Firm,3760,IVC,1,
Pleasant Bay Capital Partners LLC,2012.1.1,MA,2110,Bank Affiliated,1120,Financial,1,
Plenary Partners LLC,2009.1.1,IL,60610,Private Equity Firm,1600,IVC,1,
Plesion Capital LLC,2022.7.27,VA,22182,Private Equity Firm,8840,IVC,1,
Plexo Capital I LP,2018.1.1,CA,94107,Private Equity Firm,7360,IVC,1,
Plexus Capital LLC,2005.8.1,NC,27609,Private Equity Firm,6640,IVC,1,
Pliant Corp,1984.1.1,NY,10020,Bank Affiliated,5600,Financial,1,
Plm International  Inc,1987.1.1,UN,NA,Other,0,Other,1,
Plug & Play LLC,2006.1.1,CA,94085,Incubator/Development Program,7400,Non-Financial,1,
Plug and Play Fund Management I LLC,2021.1.1,CA,94085,Private Equity Firm,7400,IVC,1,
Plum Alley Inc,2019.1.1,NY,10010,Private Equity Firm,5600,IVC,1,
Plum Capital LLC,2000.1.1,PA,19118,Private Equity Firm,6160,IVC,1,
Plumtree Partners LLC,2009.3.4,TX,75219,Private Equity Firm,1920,IVC,1,
Plus Capital Management LLC,2013.2.15,CA,90066,Private Equity Firm,4480,IVC,1,
Plus Eight Capital Management LLC,2014.1.1,NY,10010,Private Equity Firm,5600,IVC,1,
Plus550 LLC,2012.1.1,UT,84770,Angel Group,0,Angel,1,
Plutus Capital Partners LLC,2021.1.1,FL,33607,Bank Affiliated,8280,Financial,1,
Plymouth Group,1998.3.4,NY,10105,Investment Management Firm,5600,Financial,1,
Plymouth Growth,2002.1.1,MI,48108,Private Equity Firm,440,IVC,1,
Pmat Real Estate Companies,2003.1.1,LA,70125,Private Equity Firm,5560,IVC,1,
Pmc Capital Partners LLC,2020.1.1,CA,91352,Private Equity Firm,4480,IVC,1,
Pocantico Associates,1983.1.1,NY,10022,Private Equity Firm,5600,IVC,1,
Pod Holding Inc,2002.1.1,MA,2117,Private Equity Firm,1120,IVC,1,
Pogue Capital Management Inc,2000.1.1,UN,NA,Other,0,Other,1,
Point B Capital LLC,2011.1.26,WA,98101,Private Equity Firm,7600,IVC,1,
Point Field Partners LLC,2017.1.1,MD,21230,Private Equity Firm,720,IVC,1,
Point Guard Ventures LLC,2014.1.1,CA,94022,Private Equity Firm,7400,IVC,1,
Point Judith Capital,2001.6.1,MA,2109,Private Equity Firm,1120,IVC,1,
Point Lookout Capital Partners LP,2005.4.4,NY,10019,Private Equity Firm,5600,IVC,1,
Point Of Care Systems Inc,2002.1.1,CA,92008,Corporate PE/Venture,7320,CVC,1,
Point-Faro Investments Ltd,2012.1.1,NJ,7030,Private Equity Firm,3640,IVC,1,
Point72 Private Investments,2016.3.21,CT,6902,Private Equity Firm,8040,IVC,1,
Pointer.Capital LLC,2021.1.1,DE,19958,Private Equity Firm,0,IVC,1,
Poland Partners LP,1994.4.11,UN,NA,Other,0,Other,1,
Polar Star Capital Partners LLC,2017.1.1,UT,84111,Private Equity Firm,7160,IVC,1,
Polara Capital,2014.1.1,GA,30075,Investment Management Firm,520,Financial,1,
Polaris Capital Corp,1989.5.1,WI,53224,Private Equity Firm,5080,IVC,1,
Polaris Fund,2002.1.1,ME,4112,Private Equity Firm,6400,IVC,1,
Polaris Real Estate Partners LLC,2021.1.1,CA,94109,Private Equity Firm,7360,IVC,1,
Polen Capital Credit LLC,1996.1.1,MA,2453,Bank Affiliated,1120,Financial,1,
Polen Capital Management L.L.C,2007.6.7,FL,33431,Investment Management Firm,8960,Financial,1,
Polestar Capital Partners,1970.1.1,IL,60601,Private Equity Firm,1600,IVC,1,
Polychain Capital LP,2016.1.1,CA,NA,Investment Management Firm,0,Financial,1,
Polychain Venture Partners LLC,2016.1.1,CA,94104,Private Equity Firm,7360,IVC,1,
Polychrome Capital,2020.1.1,CA,NA,Private Equity Firm,0,IVC,1,
Polycom Inc,2002.1.1,CA,95035,Corporate PE/Venture,7400,CVC,1,
Pomona Management LLC,1994.1.1,NY,10017,Private Equity Advisor or Fund of Funds,5600,Financial,1,
Pon Capital Corp,1987.1.1,MA,2111,Bank Affiliated,1120,Financial,1,
Pond Capital LLC,2018.1.1,MA,2108,Private Equity Firm,1120,IVC,1,
Pondfield Management Corp,1970.1.1,NY,10708,Private Equity Firm,5600,IVC,1,
Ponoi Capital LP,2017.5.22,CA,94158,Private Equity Firm,7360,IVC,1,
Ponte Vedra Ventures,1996.1.1,GA,30326,Private Equity Firm,520,IVC,1,
Poplar Capital Partners LLC,2013.4.9,NY,10018,Private Equity Firm,5600,IVC,1,
Poplar Ventures LLC,2007.2.12,KY,40205,Private Equity Firm,4520,IVC,1,
Population Health Partners LLC,2021.1.1,CA,94101,Investment Management Firm,7360,Financial,1,
Porpoise Capital,2002.1.1,UN,NA,Other,0,Other,1,
Portage Equity Investments II LP,1969.1.1,MN,55391,Other,5120,Other,1,
Portage Venture Partners LLC,1997.1.1,IL,60093,Private Equity Firm,1600,IVC,1,
Portal Capital LLC,2008.1.1,OR,97062,Private Equity Firm,6440,IVC,1,
Portal Innovations LLC,2020.1.1,IL,60607,Incubator/Development Program,1600,Non-Financial,1,
Portal Software Inc,1999.1.1,CA,95014,Corporate PE/Venture,7400,CVC,1,
Portal Ventures Management LLC,2022.1.1,MD,21209,Private Equity Firm,0,IVC,1,
Porter White Investment Company LP,1975.1.1,AL,35203,Bank Affiliated,1000,Financial,1,
Portfolia Inc,2015.1.1,CA,94401,Private Equity Firm,7360,IVC,1,
Portfolio Advisors Services LLC,1994.1.1,CT,6820,Private Equity Firm,8040,IVC,1,
Porthcawl Holdings,2016.1.1,TX,78201,Private Equity Firm,7240,IVC,1,
Portico Ventures,2020.1.1,NY,NA,Private Equity Firm,0,IVC,1,
Portland Seed Fund,2010.1.1,OR,97205,Private Equity Firm,6440,IVC,1,
Portola Ventures,2002.1.1,CA,94026,Private Equity Firm,7360,IVC,1,
"Posco Bioventures, Inc.",2002.1.1,CA,92009,Corporate PE/Venture,7320,CVC,1,
Poseidon Asset Management LLC,2013.1.1,CA,94117,Investment Management Firm,7360,Financial,1,
Poseidon Ventures,2014.1.1,CA,NA,Private Equity Firm,0,IVC,1,
Position Ventures LLC,1969.1.1,CA,94101,Private Equity Firm,7360,IVC,1,
Positive Sum Capital LP,2020.1.1,CT,6901,Private Equity Firm,8040,IVC,1,
Possibilian Ventures GP LLC,2021.1.28,PA,17018,Private Equity Firm,3240,IVC,1,
Post Capital Partners LLC,2004.1.1,NY,10017,Private Equity Firm,5600,IVC,1,
Post Investment Group LLC,2007.1.1,CA,90067,Private Equity Firm,4480,IVC,1,
Post Oak Energy Capital LP,2006.4.28,TX,77056,Private Equity Firm,3360,IVC,1,
Post Road Group LLC,2015.1.1,CT,6901,Investment Management Firm,8040,Financial,1,
Post Venture Associates,1982.1.1,UN,NA,Private Equity Firm,0,IVC,1,
Postini Inc,2002.1.1,CA,94063,Corporate PE/Venture,7360,CVC,1,
Potenza Capital LP,2015.1.1,NY,10011,Private Equity Firm,5600,IVC,1,
Potluck Ventures,2022.1.1,CA,90011,Private Equity Firm,4480,IVC,1,
Potomac Energy Fund LP,2008.4.2,MD,21701,Private Equity Firm,8840,IVC,1,
Potomac Equity Partners LLC,2015.1.1,DC,20016,Private Equity Firm,8840,IVC,1,
Pound Capital Ltd,2004.1.1,CT,6901,Investment Management Firm,8040,Financial,1,
Pouschine Cook Capital Management LLC,1999.3.4,NY,10022,Private Equity Firm,5600,IVC,1,
Power Capital Partners LLC,2011.10.10,NY,10601,Private Equity Firm,5600,IVC,1,
Power Ventures Inc,1981.2.26,AR,72104,Corporate PE/Venture,0,CVC,1,
PowerPlant LLC,2015.1.1,CA,90254,Private Equity Firm,4480,IVC,1,
Powered Health,2013.1.1,TN,37211,Incubator/Development Program,5360,Non-Financial,1,
Powerhouse Capital Group LLC,2019.1.1,CA,90024,Private Equity Firm,4480,IVC,1,
Powerhouse Ventures,2011.1.1,WA,NA,Private Equity Firm,0,IVC,1,
Powerhouse Ventures LLC,2016.1.1,CA,94612,Private Equity Firm,5775,IVC,1,
Powerquest Partners,2001.1.1,MI,48304,Private Equity Firm,2160,IVC,1,
Powershift Group,1998.1.1,TX,78731,Corporate PE/Venture,640,CVC,1,
Practical Vc LLC,2019.1.1,CA,94304,Private Equity Firm,7400,IVC,1,
Praedium Group LLC,1991.1.1,NY,10022,Private Equity Firm,5600,IVC,1,
Praesidian Capital Corp,2002.1.1,NY,10538,Private Equity Firm,5600,IVC,1,
Prairie Capital LP,1997.9.26,IL,60606,Private Equity Firm,1600,IVC,1,
Prairie Crest Capital LLC,2016.1.1,IA,50309,Private Equity Firm,2120,IVC,1,
Prairie Oak Capital LLC,2006.6.23,IA,50208,Private Equity Firm,0,IVC,1,
Prairie Ventures LLC,2000.7.31,NE,68130,Private Equity Firm,5920,IVC,1,
Prairiegold Venture Partners,2003.10.1,SD,57108,Private Equity Firm,7760,IVC,1,
Prana Investments Inc,1982.1.1,CA,94111,Private Equity Firm,7360,IVC,1,
Prana Ventures LLC,2017.1.1,CA,94102,Private Equity Firm,7360,IVC,1,
Prather Captial Partners,2018.1.1,KY,40203,Private Equity Firm,4520,IVC,1,
Praxis Capital LLC,2009.1.1,CA,95403,Private Equity Firm,7500,IVC,1,
Precept Capital Management LP,1998.1.1,TX,75201,Private Equity Firm,1920,IVC,1,
Precision Capital Advisors LLC,2004.1.1,NY,10022,Private Equity Advisor or Fund of Funds,5600,Financial,1,
Precursor Ventures Management LLC,2015.1.1,CA,94108,Private Equity Firm,7360,IVC,1,
Predictive Venture Partners III LLC,2020.1.1,MA,1845,Private Equity Firm,4160,IVC,1,
Preface Ventures GP LLC,2020.1.21,CA,94117,Private Equity Firm,7360,IVC,1,
Preferred Investors Corp,1974.5.1,CA,91362,Bank Affiliated,8735,Financial,1,
Prefix Capital,2019.1.1,CA,94110,Private Equity Firm,7360,IVC,1,
Prelude Growth Partners Management Company LLC,2017.1.1,NY,10175,Private Equity Firm,5600,IVC,1,
Prelude Investments Co,2019.1.1,UT,84121,Private Equity Firm,7160,IVC,1,
Prelude Partners,2016.1.1,CA,92618,Investment Management Firm,5945,Financial,1,
Prelude Ventures LLC,2013.1.1,CA,94111,Private Equity Firm,7360,IVC,1,
Premia Capital LLC,2015.1.1,CA,94063,Private Equity Firm,7360,IVC,1,
Premier Medical Partner Fund LP,1995.1.1,CA,92130,Corporate PE/Venture,7320,CVC,1,
Presbyterian Health Foundation,1969.1.1,UN,NA,Other,0,Other,1,
Prescient Capital LLC,1999.9.1,CA,94105,Private Equity Firm,7360,IVC,1,
Prescott Ball & Turben,1983.1.1,OH,43001,Bank Affiliated,1840,Financial,1,
Prescriptive Capital LLC,2022.2.16,CO,80202,Private Equity Firm,2080,IVC,1,
Presence Capital GP LLC,2015.1.1,CA,94101,Private Equity Firm,7360,IVC,1,
Preservation Equity Partners Fund Advisors LLC,2022.1.1,CA,92614,Private Equity Firm,5945,IVC,1,
Presidio Bay Ventures LLC,1969.1.1,CA,94111,Private Equity Firm,7360,IVC,1,
Presidio Investors LLC,2008.1.1,CA,94104,Bank Affiliated,7360,Financial,1,
Presidio Partners 2014 GP LLC,2014.1.1,CA,94129,Private Equity Firm,7360,IVC,1,
Presidio Partners Development Company LLC,1989.1.1,CA,94129,Private Equity Firm,7360,IVC,1,
Presidio Residential Capital,2009.1.1,CA,92131,Private Equity Firm,7320,IVC,1,
Presidio Stx LLC,1998.1.1,CA,95054,Corporate PE/Venture,7400,CVC,1,
Presidio View Capital Management LLC,2018.1.1,CA,94123,Private Equity Firm,7360,IVC,1,
Presight Capital,2019.1.1,CA,90069,Private Equity Firm,4480,IVC,1,
Press Reset Ventures,2022.1.1,NY,10001,Corporate PE/Venture,5600,CVC,1,
Preston Wealth Advisors LLC,2003.1.1,VA,20190,Private Equity Firm,8840,IVC,1,
Preston-Werner Ventures Holdings LLC,2015.1.1,CA,94301,Private Equity Firm,7400,IVC,1,
Pretium Partners LLC,2012.1.1,NY,10019,Investment Management Firm,5600,Financial,1,
Prettybrook Partners LLC,1969.1.1,TX,78701,Private Equity Firm,640,IVC,1,
Priam Ventures LLC,2013.1.1,TN,37212,Private Equity Firm,5360,IVC,1,
Prides Crossing Capital LP,2013.1.1,MA,1880,Private Equity Firm,1120,IVC,1,
Prim Resources,1978.1.1,CA,90001,Private Equity Firm,4480,IVC,1,
Primark Capital Group Inc,2020.1.1,CO,80206,Investment Management Firm,2080,Financial,1,
Primary Care Innovation Fund,2016.1.1,PA,19131,"Endowment, Foundation or Pension Fund",6160,Financial,1,
Prime Capital Inc,1989.1.1,VA,20186,Private Equity Firm,8840,IVC,1,
"Prime Capital Management Co., Inc.",1981.1.1,CT,6905,Private Equity Firm,8040,IVC,1,
Prime Group Holdings LLC,2015.1.1,NY,12866,Private Equity Firm,160,IVC,1,
Prime Healthcare Investors LLC,1993.1.1,IL,60062,Private Equity Firm,1600,IVC,1,
Prime Meridian Capital Management LLC,2012.3.12,NV,89501,Investment Management Firm,6720,Financial,1,
Prime Movers Lab LLC,2018.7.26,WY,83001,Private Equity Firm,0,IVC,1,
Prime New Ventures Management LP,1994.12.12,TX,78701,Private Equity Firm,640,IVC,1,
Prime Private Equity LLC,2021.10.14,NJ,7649,Private Equity Firm,875,IVC,1,
Prime Residential LLC,2020.1.1,CA,94111,Investment Management Firm,7360,Financial,1,
Primer Holdings LLC,2020.8.13,WA,98004,Private Equity Firm,7600,IVC,1,
Primer Sazze Partners Inc,2018.1.1,CA,95129,Investment Management Firm,7400,Financial,1,
Primera Capital,2008.1.1,CA,94607,Private Equity Firm,5775,IVC,1,
Primetime Partners,2020.1.1,NY,10022,Investment Management Firm,5600,Financial,1,
Primis Inc,2002.1.1,GA,30022,Corporate PE/Venture,520,CVC,1,
Primitive Ventures,2018.1.1,CA,94107,Private Equity Firm,7360,IVC,1,
Primus Capital,1983.1.1,OH,44122,Private Equity Firm,1680,IVC,1,
Prince Ventures LLC,1978.1.1,IL,60606,Private Equity Firm,1600,IVC,1,
Princeton Biopharma Capital Partners LLC,1969.1.1,NJ,8807,Investment Management Firm,5015,Financial,1,
Princeton University Investment Co,1987.1.1,NJ,8542,Private Equity Firm,8480,IVC,1,
Princeton Ventures Management LLC,2000.1.1,NJ,8540,Private Equity Firm,8480,IVC,1,
Princeton/Montrose Partners,1981.1.1,CA,91020,Private Equity Firm,4480,IVC,1,
Princeville Global Partners Ltd,2017.1.1,CA,94105,Private Equity Firm,7360,IVC,1,
Principal Real Estate Investors LLC,2000.1.1,IA,50392,Investment Management Firm,2120,Financial,1,
Principals Capital Corp,1984.1.1,NY,10022,Bank Affiliated,5600,Financial,1,
Principia Growth,2020.1.1,AL,NA,Private Equity Firm,0,IVC,1,
Prism Capital Corp,1999.1.1,IL,60611,Private Equity Firm,1600,IVC,1,
Prism Ventureworks,1996.1.1,MA,2494,Private Equity Firm,1120,IVC,1,
Prisma Ventures,2021.1.1,IL,60440,Corporate PE/Venture,1600,CVC,1,
Prithvi Ventures LLC,2020.1.1,NY,10001,Private Equity Firm,0,IVC,1,
Pritok Capital LLC,2012.1.1,IL,60076,Private Equity Firm,1600,IVC,1,
Pritt Investment Partners LLC,2019.1.1,MD,20810,Private Equity Firm,0,IVC,1,
Private Capital Corp,1973.1.1,AL,35209,Private Equity Firm,1000,IVC,1,
Private Equity Associates,1994.1.1,UN,NA,Bank Affiliated,0,Financial,1,
Private Equity Capital Corp,1998.5.11,CA,92130,Private Equity Firm,7320,IVC,1,
Private Equity Group LLC,1985.1.1,FL,33907,Investment Management Firm,2700,Financial,1,
Private Equity Partners Inc,1996.1.1,TX,76102,Private Equity Firm,2800,IVC,1,
Private Partners Opportunity Fund LLC,2008.5.23,OK,73701,Angel Group,2340,Angel,1,
Private Ventures Group LLC,2022.1.1,NY,10001,Private Equity Firm,5600,IVC,1,
Privateer Holdings Inc,2011.1.1,WA,98171,Private Equity Firm,7600,IVC,1,
"Privest I, N.V. (Interfid)",1984.1.1,NY,10017,Private Equity Firm,5600,IVC,1,
Prm Debtor Corp,1984.1.1,CA,95134,Corporate PE/Venture,7400,CVC,1,
Pro After Inc,1996.1.1,NV,89129,Corporate PE/Venture,4120,CVC,1,
Pro Med Management Services,2000.1.1,NY,10918,Corporate PE/Venture,5660,CVC,1,
ProEquita Fund LLC,2014.1.15,NV,89109,Private Equity Firm,4120,IVC,1,
ProMedica Ventures,2018.1.1,OH,43615,Private Equity Firm,8400,IVC,1,
ProQuest Investments,1998.1.1,FL,34109,Private Equity Firm,5345,IVC,1,
ProVest Properties LLC,2012.4.20,FL,33139,Private Equity Firm,5000,IVC,1,
Proactive Group LLC,2005.8.19,IL,60804,Private Equity Firm,1600,IVC,1,
Probitas Partners Inc,2001.1.1,CA,94104,Private Equity Firm,7360,IVC,1,
Procaccianti Group LLC,1964.1.1,RI,2920,Private Equity Firm,6480,IVC,1,
Procter & Gamble Ventures,2015.1.1,OH,45202,Investment Management Firm,1640,Financial,1,
Procyon Ventures,1969.1.1,MA,2142,Private Equity Firm,1120,IVC,1,
Prodea Systems Inc,2006.5.17,TX,75093,Private Equity Firm,1920,IVC,1,
Prodigy Venture LLC,2007.1.1,NJ,7663,Private Equity Advisor or Fund of Funds,875,Financial,1,
Productive Capital Assoc,1979.1.1,UN,NA,Bank Affiliated,0,Financial,1,
Profile Capital Management LLC,2009.1.1,IL,60290,Private Equity Firm,1600,IVC,1,
Profile Venture Partners,2000.1.1,PA,19355,Private Equity Firm,6160,IVC,1,
Progeny Ventures Inc,2001.1.15,SC,29072,Service Provider,1760,Other,1,
Progress Equity Partners Ltd,1993.1.1,TX,75034,Private Equity Firm,1920,IVC,1,
Progress Investment Management Co,1990.1.1,CA,94105,Private Equity Firm,7360,IVC,1,
Progress Realty Partners LLC,2020.1.1,NJ,7724,Private Equity Firm,5190,IVC,1,
Progress Ventures Inc,2008.1.1,MA,2110,Private Equity Firm,1120,IVC,1,
Progression Fund,2020.1.1,CA,94610,Corporate PE/Venture,5775,CVC,1,
Project 11 Ventures LP,2010.1.1,MA,2420,Private Equity Firm,1120,IVC,1,
Project M Holdings Inc.,2020.1.1,CA,94101,Private Equity Firm,7360,IVC,1,
Prologis Ventures,2016.1.1,CA,94111,Investment Management Firm,7360,Financial,1,
Prometheus V LLC,1996.1.1,GA,30022,Private Equity Firm,520,IVC,1,
Promus Equity Partners LLC,2010.7.27,IL,60606,Investment Management Firm,1600,Financial,1,
Promus Holdings LLC,2012.1.1,IL,60661,Private Equity Firm,1600,IVC,1,
Pronghorn,2021.1.1,NY,10007,Incubator/Development Program,5600,Non-Financial,1,
Pronomos Capital,2020.1.1,CA,94104,Private Equity Firm,7360,IVC,1,
Proof Of Capital LLC,2019.1.1,CA,94107,Private Equity Firm,7360,IVC,1,
Proof Ventures LLC,2013.1.1,CA,94107,Private Equity Firm,7360,IVC,1,
Propel Bio Partners L.P,2022.3.18,CA,90067,Private Equity Firm,0,IVC,1,
Propel Capital Network LLC,2016.9.21,NY,10001,Private Equity Firm,5600,IVC,1,
Propel Equity Partners LLC,2012.1.1,CT,6831,Private Equity Firm,8040,IVC,1,
Propel Venture Partners LLC,2016.1.1,CA,94070,Private Equity Firm,7360,IVC,1,
Propellant Ventures LP,2020.1.1,IL,60606,Private Equity Firm,1600,IVC,1,
Propeller Ventures,2022.1.1,MA,2124,Private Equity Firm,1120,IVC,1,
Property Capital Trust Inc,1969.1.1,MA,2109,Bank Affiliated,1120,Financial,1,
Prophet Equity LLC,2007.12.13,TX,76092,Private Equity Firm,2800,IVC,1,
Proprium Capital Partners LP,2013.3.1,CT,6901,Private Equity Firm,8040,IVC,1,
Prospect Group Inc,1986.1.1,NY,501,Private Equity Firm,5380,IVC,1,
Prospect Partners LLC,1998.5.28,IL,60606,Private Equity Firm,1600,IVC,1,
Prospect Ridge Advisors LLC,2021.1.1,NY,10019,Private Equity Firm,5600,IVC,1,
Prospect Street Ventures,1988.1.1,NY,10016,Private Equity Firm,5600,IVC,1,
Prospect Venture Partners,1997.1.1,CA,94301,Private Equity Firm,7400,IVC,1,
Prospequity Partners LLC,2018.1.1,FL,33607,Private Equity Firm,8280,IVC,1,
Prosper Capital LLC,2015.1.1,MO,63117,Incubator/Development Program,7040,Non-Financial,1,
Prota Ventures LLC,2016.1.1,IL,60654,Investment Management Firm,1600,Financial,1,
Protagonist LP,2022.1.1,FL,33101,Private Equity Firm,5000,IVC,1,
Proterra Investment Partners LP,2016.1.1,MN,55402,Investment Management Firm,5120,Financial,1,
Protocol Ventures LP,2017.1.1,CA,NA,Corporate PE/Venture,0,CVC,1,
Protofund,2021.8.31,CA,93101,Private Equity Firm,7480,IVC,1,
Proton Enterprises LLC,2012.1.1,NY,10018,Incubator/Development Program,5600,Non-Financial,1,
Protostar Partners LLC,2001.6.30,NY,10019,Private Equity Firm,5600,IVC,1,
ProvCo Group,1978.1.1,PA,19085,Investment Management Firm,6160,Financial,1,
Provariant Equity Partners,2018.1.1,OH,44124,Private Equity Firm,1680,IVC,1,
Provenance,2017.1.1,CA,90211,Private Equity Firm,4480,IVC,1,
Provenance Hotel Partners,2015.1.1,OR,97201,Private Equity Firm,6440,IVC,1,
Provenance Ventures,2006.1.1,CA,90405,Private Equity Firm,4480,IVC,1,
Providence Equity Partners LLC,1989.1.1,RI,2903,Private Equity Firm,6480,IVC,1,
Providence Journal Co,1992.1.1,UN,NA,Other,0,Other,1,
Providence Ventures,2014.1.1,WA,98104,"Endowment, Foundation or Pension Fund",7600,Financial,1,
Provident,2002.1.1,UN,NA,Other,0,Other,1,
Provident Bank (Massachusetts),2002.1.1,OH,45201,Private Equity Firm,1640,IVC,1,
Provident Healthcare Partners,2002.5.20,MA,2110,Private Equity Firm,1120,IVC,1,
Provident Healthcare Ventures LLC,2010.1.1,MA,2109,Private Equity Firm,1120,IVC,1,
Provident Life And Accident Insurance Co,1980.1.1,TN,37402,Insurance Firm Affiliate,1560,Financial,1,
Provident Realty Advisors Inc,1991.1.1,TX,75231,Private Equity Firm,1920,IVC,1,
Provider Real Estate Partners LLC,2021.1.1,OH,44118,Private Equity Firm,1680,IVC,1,
Providian Financial Corp,1996.1.1,CA,94105,Corporate PE/Venture,7360,CVC,1,
Proviso Capital LLC,2014.1.1,NY,10017,Private Equity Firm,5600,IVC,1,
Prudence Holdings Inc,2009.1.1,NY,10173,Private Equity Firm,5600,IVC,1,
Prudent Capital Corp,1999.1.1,DC,20036,Private Equity Firm,8840,IVC,1,
Prudent Growth Partners LLC,2015.1.1,NC,27514,Private Equity Firm,6640,IVC,1,
Prudential Capital Group L.P,1969.1.1,IL,60601,Insurance Firm Affiliate,1600,Financial,1,
Prudential Real Estate Investors,1970.1.1,NJ,7940,Investment Management Firm,5640,Financial,1,
Prudential-Bache Capital Partners Inc,1983.1.1,NY,501,Bank Affiliated,5380,Financial,1,
Pruven Management Company LLC,2020.1.1,CA,94401,Corporate PE/Venture,7360,CVC,1,
Prysm Capital LLC,2019.6.25,NJ,8540,Private Equity Firm,8480,IVC,1,
Psilos Group Managers LLC,1998.1.1,NY,10006,Private Equity Firm,5600,IVC,1,
Psion Capital LLC,2016.1.1,MA,2110,Private Equity Firm,1120,IVC,1,
Psymed Ventures LP,2020.1.1,CA,94117,Private Equity Firm,7360,IVC,1,
Pt Capital LLC,2013.1.1,AK,99503,Private Equity Firm,380,IVC,1,
Ptek Ventures,1998.1.1,GA,30326,Private Equity Advisor or Fund of Funds,520,Financial,1,
Publex Ventures LLC,2004.1.1,CA,90404,Private Equity Firm,4480,IVC,1,
Public Pension Capital LLC,2014.1.1,NY,10022,Private Equity Firm,5600,IVC,1,
Pulse Equity Partners LLC,2010.1.1,NY,11209,Private Equity Firm,5600,IVC,1,
Pulte Capital Partners LLC,2011.1.1,MI,48342,Private Equity Firm,2160,IVC,1,
Pummerin Investments LLC,2010.1.1,TX,77024,Private Equity Firm,3360,IVC,1,
Pura Vida Investments LLC,2012.1.1,NY,10106,Private Equity Firm,5600,IVC,1,
Purdue Pharma LP,1982.1.1,CT,6901,Corporate PE/Venture,8040,CVC,1,
Purdue Research Foundation,2008.1.1,IN,47906,University Program,3920,Non-Financial,1,
Pure Imagination Brands,2019.1.1,CA,90405,Private Equity Firm,4480,IVC,1,
Pure Ventures LLC,2021.1.1,CA,94612,Private Equity Firm,5775,IVC,1,
Purepay Capital LLC,2007.1.1,MD,20855,Private Equity Firm,8840,IVC,1,
Puretech Ventures,2001.1.1,MA,2116,Private Equity Firm,1120,IVC,1,
Purivitae LLC,2022.1.1,MO,63105,Private Equity Firm,7040,IVC,1,
PurpleTalk Inc,2010.1.1,CA,94085,Incubator/Development Program,7400,Non-Financial,1,
Purpose Built Ventures LLC,2018.1.1,CA,94131,Private Equity Firm,7360,IVC,1,
Pursuant Capital Gp LLC,2019.1.1,FL,33607,Private Equity Firm,8280,IVC,1,
"Purvi Capital, LLC",2011.4.11,NY,10010,Private Equity Firm,5600,IVC,1,
Putnam Global Health Care Fund,1982.1.28,MA,2111,Bank Affiliated,1120,Financial,1,
Putnam Investors Fund,1991.1.1,CA,94303,Service Provider,7360,Other,1,
Putnam Management Co,1969.1.1,MA,2111,Investment Management Firm,1120,Financial,1,
Pv Ventures LLC,2014.1.1,CO,80906,Private Equity Firm,1720,IVC,1,
Pylon Capital LLC,2010.1.1,CA,90025,Private Equity Firm,4480,IVC,1,
Pyramid Pharma Ltd,2012.1.1,CA,92008,Investment Management Firm,7320,Financial,1,
Pyramid Technology Ventures,1999.1.1,CA,94105,Private Equity Firm,7360,IVC,1,
Pyramid Ventures Inc,1986.1.1,CA,94111,Bank Affiliated,7360,Financial,1,
Q Ventures LLC,1994.1.1,TX,76102,Incubator/Development Program,2800,Non-Financial,1,
Q6 Capital,2019.1.1,CA,94111,Private Equity Firm,7360,IVC,1,
QB1 Ventures LLC,1969.1.1,NY,10022,Private Equity Firm,5600,IVC,1,
QCP LP,1998.1.1,CO,80203,Private Equity Firm,2080,IVC,1,
QEAS Inc,1987.1.1,IL,60001,Corporate PE/Venture,1600,CVC,1,
QED Investors LLC,2008.1.1,VA,22314,Private Equity Firm,8840,IVC,1,
QHP Capital LP,2010.1.1,NC,27609,Private Equity Firm,6640,IVC,1,
QS Batterymarch Financial Management Inc,1994.9.19,MA,2110,Bank Affiliated,1120,Financial,1,
QUANTUM VENTURE PARTNERS L P,2000.3.1,NY,10017,Private Equity Firm,5600,IVC,1,
QUESTECH CAPITAL CORP,1981.1.1,NY,10022,SBIC,5600,Financial,1,
QUINCY PACIFIC PARTNERS LP,1992.7.1,CA,90071,Private Equity Firm,4480,IVC,1,
QVC Inc,1986.6.13,PA,19380,Corporate PE/Venture,6160,CVC,1,
QVT Financial LP,2003.1.1,NY,10106,Corporate PE/Venture,5600,CVC,1,
Qantel Corp,1978.1.1,NJ,7054,Corporate PE/Venture,5640,CVC,1,
Qc Capital LLC,2019.1.1,NC,28208,Private Equity Firm,1520,IVC,1,
Qorvo Us Inc,1985.1.1,OR,97124,Corporate PE/Venture,6440,CVC,1,
Qtv Capital Ltd,2000.1.1,CA,95070,Private Equity Firm,7400,IVC,1,
Quabbin Capital Inc,1974.1.1,MA,2110,Investment Management Firm,1120,Financial,1,
Quad Capital Advisors LLC,1997.12.24,WI,53719,Investment Management Firm,4720,Financial,1,
Quad Ventures LLC,2000.1.1,NY,10022,Private Equity Firm,5600,IVC,1,
